 'Classifier','train_accuracy','test_accuracy','fit_time','score_time','features','settings'
'naive_bayes',0.572520826201,0.554084892743,0.000945091247559,0.00171709060669,1,'name=gaussianNB'
'naive_bayes',0.583818327057,0.542218165221,0.00185990333557,0.00359702110291,3,'name=gaussianNB'
'naive_bayes',0.554262238959,0.469192149703,0.00200510025024,0.00443315505981,6,'name=gaussianNB'
'naive_bayes',0.263608353304,0.212231857599,0.00284814834595,0.00653195381165,11,'name=gaussianNB'
'naive_bayes',0.263722469474,0.211319032405,0.00373387336731,0.010556936264,22,'name=gaussianNB'
'naive_bayes',0.360949446537,0.305340027385,0.00598788261414,0.0189418792725,41,'name=gaussianNB'
'naive_bayes',0.250142645213,0.219534459151,0.0103499889374,0.036679983139,76,'name=gaussianNB'
'naive_bayes',0.476320894671,0.352350524874,0.0184350013733,0.0690870285034,140,'name=gaussianNB'
'naive_bayes',0.269998858838,0.219990871748,0.0329239368439,0.127144098282,259,'name=gaussianNB'
'naive_bayes',0.269542394157,0.220903696942,0.0650279521942,0.231157064438,476,'name=gaussianNB'
'naive_bayes',0.288713910761,0.215426745778,0.113466978073,0.416216850281,876,'name=gaussianNB'
'naive_bayes',0.326714595458,0.225924235509,0.19015288353,0.744627952576,1611,'name=gaussianNB'
'naive_bayes',0.405340636768,0.255134641716,0.357378959656,2.19580006599,2961,'name=gaussianNB'
'naive_bayes',0.602076914299,0.335919671383,0.753018140793,3.46150493622,5441,'name=gaussianNB'
'naive_bayes',0.741298642018,0.386125057052,1.68728494644,8.90760397911,9999,'name=gaussianNB'
