"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.362775305261,0.322227293473,0.323729038239,0.161703109741,1,[[ 294    0 2627]  [  80    0 2841]  [  36    0 2885]],[[ 50   0 691]  [ 46   0 697]  [ 51   0 656]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.391418463996,0.328160657234,0.378747940063,0.189631938934,4,[[ 293 2354  274]  [  80 2390  451]  [  35 2139  747]],[[ 49 531 161]  [ 45 525 173]  [ 50 512 145]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.394271368253,0.332724783204,0.442291021347,0.179007053375,11,[[ 293 2342  286]  [  80 2397  444]  [  34 2122  765]],[[ 48 528 165]  [ 44 524 175]  [ 49 501 157]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.410019399749,0.330899132816,0.628785133362,0.23362994194,27,[[2111  524  286]  [1761  717  443]  [1496  660  765]],[[353 224 164]  [353 215 175]  [331 219 157]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.416295789113,0.334550433592,1.70903611183,0.37122297287,63,[[1746  828  347]  [1356 1049  516]  [1135  933  853]],[[271 293 177]  [272 289 182]  [254 280 173]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.453269428278,0.308534915564,3.29428911209,0.576662778854,146,[[1483  875  563]  [ 931 1124  866]  [ 616  940 1365]],[[198 255 288]  [224 240 279]  [200 269 238]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.475179732968,0.310360565952,7.14091086388,1.15511202812,336,[[1491  924  506]  [ 824 1301  796]  [ 556  993 1372]],[[227 210 304]  [242 186 315]  [233 207 267]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.48921602191,0.308078502967,15.0679709911,2.15510511398,774,[[1507  957  457]  [ 765 1400  756]  [ 504 1037 1380]],[[236 230 275]  [261 212 270]  [247 233 227]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.494921830423,0.304883614788,62.5276679993,7.17238402367,1779,[[1381 1106  434]  [ 615 1546  760]  [ 391 1120 1410]],[[198 275 268]  [213 270 260]  [213 294 200]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.496861805318,0.310360565952,135.053707838,117.897236109,4087,[[1389 1106  426]  [ 615 1554  752]  [ 396 1114 1411]],[[191 281 269]  [197 276 270]  [202 292 213]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.495720643615,0.303514376997,438.253221035,351.137039185,9389,[[1373 1117  431]  [ 627 1541  753]  [ 386 1105 1430]],[[194 274 273]  [207 268 268]  [204 300 203]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.362775305261,0.322227293473,0.00384306907654,0.00149297714233,1,[[ 294    0 2627]  [  80    0 2841]  [  36    0 2885]],[[ 50   0 691]  [ 46   0 697]  [ 51   0 656]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.391532580167,0.328160657234,0.00466990470886,0.00172519683838,4,[[ 294 2354  273]  [  80 2390  451]  [  35 2139  747]],[[ 50 531 160]  [ 45 525 173]  [ 51 512 144]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.394841949104,0.332724783204,0.0257329940796,0.00252604484558,11,[[ 296 2342  283]  [  79 2401  441]  [  36 2122  763]],[[ 50 531 160]  [ 45 523 175]  [ 50 501 156]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.412415839324,0.33181195801,0.0704782009125,0.00506591796875,27,[[2123  528  270]  [1759  731  431]  [1497  664  760]],[[354 231 156]  [360 220 163]  [331 223 153]]
