"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.551118210863,0.491493383743,0.0898499488831,0.0384380817413,1,[[ 249 1942]  [  25 2166]],[[ 38 501]  [ 37 482]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.602921040621,0.493383742911,0.109509944916,0.0422418117523,4,[[2011  180]  [1560  631]],[[400 139]  [397 122]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.605887722501,0.497164461248,0.121330022812,0.0466730594635,11,[[1993  198]  [1529  662]],[[392 147]  [385 134]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.624372432679,0.500945179584,0.157915115356,0.0515060424805,27,[[1642  549]  [1097 1094]],[[251 288]  [240 279]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.628480146052,0.499054820416,0.264548063278,0.0636558532715,63,[[1705  486]  [1142 1049]],[[306 233]  [297 222]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.688041989959,0.48393194707,0.601922988892,0.136788129807,146,[[1625  566]  [ 801 1390]],[[241 298]  [248 271]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.704929256047,0.465028355388,1.4122941494,0.259422063828,336,[[1542  649]  [ 644 1547]],[[208 331]  [235 284]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.716111364674,0.478260869565,3.87812304497,0.572207927704,774,[[1603  588]  [ 656 1535]],[[246 293]  [259 260]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.722501141031,0.474480151229,9.08829903603,1.27316188812,1779,[[1552  639]  [ 577 1614]],[[248 291]  [265 254]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.725924235509,0.475425330813,24.2504720688,2.82534909248,4087,[[1668  523]  [ 678 1513]],[[247 292]  [263 256]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.725239616613,0.485822306238,60.0537390709,8.98573303223,9389,[[1571  620]  [ 584 1607]],[[235 304]  [240 279]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.726608854404,0.487712665406,138.800189018,20.729640007,21568,[[1555  636]  [ 562 1629]],[[234 305]  [237 282]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.725467822912,0.482986767486,474.51226306,68.3649230003,49543,[[1670  521]  [ 682 1509]],[[249 290]  [257 262]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.551118210863,0.491493383743,0.00172400474548,0.00036096572876,1,[[ 249 1942]  [  25 2166]],[[ 38 501]  [ 37 482]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.602921040621,0.494328922495,0.00168514251709,0.000349044799805,4,[[2012  179]  [1561  630]],[[402 137]  [398 121]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.606344135098,0.499054820416,0.00268387794495,0.000441074371338,11,[[1996  195]  [1530  661]],[[394 145]  [385 134]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.626654495664,0.509451795841,0.00613689422607,0.00129199028015,27,[[1652  539]  [1097 1094]],[[250 289]  [230 289]]
