"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.530982540226,0.513007759014,0.180000066757,0.0999999046326,1,[[ 341 4041]  [  69 4312]],[[  76 1055]  [  12 1048]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.548328198106,0.535371976267,0.18499994278,0.0950000286102,3,[[ 628 3754]  [ 204 4177]],[[ 159  972]  [  46 1014]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.567956179391,0.564582382474,0.217000007629,0.0989999771118,6,[[3189 1193]  [2593 1788]],[[813 318]  [636 424]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.593061736848,0.596074851666,0.281000137329,0.105000019073,12,[[2945 1437]  [2129 2252]],[[755 376]  [509 551]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.610407394728,0.597444089457,0.314999818802,0.115000009537,22,[[2965 1417]  [1997 2384]],[[750 381]  [501 559]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.626840123245,0.594249201278,0.451999902725,0.150000095367,42,[[2768 1614]  [1656 2725]],[[672 459]  [430 630]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.632545931759,0.605203103606,0.695999860764,0.22000002861,79,[[3055 1327]  [1893 2488]],[[753 378]  [487 573]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.63300239644,0.598356914651,1.2460000515,0.385999917984,147,[[2970 1412]  [1804 2577]],[[721 410]  [470 590]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.634600022823,0.605203103606,2.55399990082,0.674999952316,273,[[3151 1231]  [1971 2410]],[[774 357]  [508 552]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.635969416866,0.604746691009,5.33800005913,1.20300006866,505,[[2964 1418]  [1772 2609]],[[717 414]  [452 608]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.633801209631,0.615700593336,10.003000021,2.17899990082,935,[[2998 1384]  [1825 2556]],[[751 380]  [462 598]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.634029441972,0.61661341853,20.1369998455,3.89700007439,1729,[[3146 1236]  [1971 2410]],[[789 342]  [498 562]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.634143558142,0.617069831127,42.6419999599,7.21099996567,3198,[[3146 1236]  [1970 2411]],[[789 342]  [497 563]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.530982540226,0.513007759014,0.00500011444092,0.0,1,[[ 341 4041]  [  69 4312]],[[  76 1055]  [  12 1048]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.548328198106,0.535371976267,0.0019998550415,0.0,3,[[ 628 3754]  [ 204 4177]],[[ 159  972]  [  46 1014]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.570809083647,0.565495207668,0.00999999046326,0.0,6,[[3155 1227]  [2534 1847]],[[799 332]  [620 440]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.608581536004,0.594249201278,0.0150001049042,0.0,12,[[3022 1360]  [2070 2311]],[[759 372]  [517 543]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.671003081137,0.58785942492,0.039999961853,0.0,22,[[3298 1084]  [1799 2582]],[[759 372]  [531 529]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.812735364601,0.562300319489,0.0949997901917,0.00500011444092,42,[[3800  582]  [1059 3322]],[[696 435]  [524 536]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.897751911446,0.556823368325,0.215000152588,0.00499987602234,79,[[4099  283]  [ 613 3768]],[[675 456]  [515 545]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.927878580395,0.553628480146,0.464999914169,0.00999999046326,147,[[4179  203]  [ 429 3952]],[[646 485]  [493 567]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.965651032751,0.551346417161,0.901000022888,0.0149998664856,273,[[4327   55]  [ 246 4135]],[[682 449]  [534 526]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.985963711058,0.552259242355,1.71000003815,0.0299999713898,505,[[4366   16]  [ 107 4274]],[[661 470]  [511 549]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.993038913614,0.566408032862,3.1859998703,0.0500001907349,935,[[4379    3]  [  58 4323]],[[644 487]  [463 597]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.996804747233,0.563213144683,6.32400012016,0.085000038147,1729,[[4381    1]  [  27 4354]],[[632 499]  [458 602]]
"GaussianNB()",0.530982540226,0.513007759014,0.00500011444092,0.0,1,[[ 341 4041]  [  69 4312]],[[  76 1055]  [  12 1048]]
"GaussianNB()",0.548328198106,0.535371976267,0.0,0.00499987602234,3,[[ 628 3754]  [ 204 4177]],[[ 159  972]  [  46 1014]]
"GaussianNB()",0.540796530868,0.560931081698,0.00200009346008,0.00300002098083,6,[[4012  370]  [3654  727]],[[1045   86]  [ 876  184]]
"GaussianNB()",0.573319639393,0.594705613875,0.00499987602234,0.0,12,[[3589  793]  [2946 1435]],[[936 195]  [693 367]]
"GaussianNB()",0.587470044505,0.593792788681,0.00500011444092,0.00500011444092,22,[[3743  639]  [2976 1405]],[[958 173]  [717 343]]
"GaussianNB()",0.606527444939,0.594249201278,0.00500011444092,0.0150001049042,42,[[3576  806]  [2642 1739]],[[904 227]  [662 398]]
"GaussianNB()",0.612347369622,0.592879963487,0.00999999046326,0.0250000953674,79,[[3645  737]  [2660 1721]],[[917 214]  [678 382]]
"GaussianNB()",0.610521510898,0.583751711547,0.0199999809265,0.0500001907349,147,[[1605 2777]  [ 636 3745]],[[373 758]  [154 906]]
"GaussianNB()",0.56327741641,0.525330899133,0.039999961853,0.105000019073,273,[[ 822 3560]  [ 267 4114]],[[178 953]  [ 87 973]]
"GaussianNB()",0.563962113431,0.516202647193,0.0650000572205,0.194999933243,505,[[ 738 3644]  [ 177 4204]],[[140 991]  [ 69 991]]
"GaussianNB()",0.581992468333,0.518028297581,0.125,0.345999956131,935,[[ 832 3550]  [ 113 4268]],[[ 127 1004]  [  52 1008]]
"GaussianNB()",0.653657423257,0.560018256504,0.22000002861,0.644000053406,1729,[[4056  326]  [2709 1672]],[[949 182]  [782 278]]
"GaussianNB()",0.647609266233,0.505248744865,0.424999952316,1.2380001545,3198,[[1294 3088]  [   0 4381]],[[139 992]  [ 92 968]]
"GradientBoostingClassifier(init=None; learning_rate=0.1; loss='deviance'; max_depth=3; max_features=None; max_leaf_nodes=None; min_samples_leaf=1; min_samples_split=2; n_estimators=100; random_state=None; subsample=1.0; verbose=0; warm_start=False)",0.530982540226,0.513007759014,0.170000076294,0.00999999046326,1,[[ 341 4041]  [  69 4312]],[[  76 1055]  [  12 1048]]
"GradientBoostingClassifier(init=None; learning_rate=0.1; loss='deviance'; max_depth=3; max_features=None; max_leaf_nodes=None; min_samples_leaf=1; min_samples_split=2; n_estimators=100; random_state=None; subsample=1.0; verbose=0; warm_start=False)",0.548328198106,0.535371976267,0.279000043869,0.0199999809265,3,[[ 628 3754]  [ 204 4177]],[[ 159  972]  [  46 1014]]
"GradientBoostingClassifier(init=None; learning_rate=0.1; loss='deviance'; max_depth=3; max_features=None; max_leaf_nodes=None; min_samples_leaf=1; min_samples_split=2; n_estimators=100; random_state=None; subsample=1.0; verbose=0; warm_start=False)",0.570124386626,0.565495207668,0.424999952316,0.0199999809265,6,[[3151 1231]  [2536 1845]],[[797 334]  [618 442]]
"GradientBoostingClassifier(init=None; learning_rate=0.1; loss='deviance'; max_depth=3; max_features=None; max_leaf_nodes=None; min_samples_leaf=1; min_samples_split=2; n_estimators=100; random_state=None; subsample=1.0; verbose=0; warm_start=False)",0.596941686637,0.591510725696,0.680999994278,0.0199999809265,12,[[2842 1540]  [1992 2389]],[[721 410]  [485 575]]
"GradientBoostingClassifier(init=None; learning_rate=0.1; loss='deviance'; max_depth=3; max_features=None; max_leaf_nodes=None; min_samples_leaf=1; min_samples_split=2; n_estimators=100; random_state=None; subsample=1.0; verbose=0; warm_start=False)",0.618053178135,0.594705613875,1.09599995613,0.0199999809265,22,[[2852 1530]  [1817 2564]],[[706 425]  [463 597]]
"GradientBoostingClassifier(init=None; learning_rate=0.1; loss='deviance'; max_depth=3; max_features=None; max_leaf_nodes=None; min_samples_leaf=1; min_samples_split=2; n_estimators=100; random_state=None; subsample=1.0; verbose=0; warm_start=False)",0.641675225379,0.610223642173,1.90899991989,0.0199999809265,42,[[2931 1451]  [1689 2692]],[[709 422]  [432 628]]
"GradientBoostingClassifier(init=None; learning_rate=0.1; loss='deviance'; max_depth=3; max_features=None; max_leaf_nodes=None; min_samples_leaf=1; min_samples_split=2; n_estimators=100; random_state=None; subsample=1.0; verbose=0; warm_start=False)",0.658450302408,0.598813327248,4.98699998856,0.0250000953674,79,[[2978 1404]  [1589 2792]],[[685 446]  [433 627]]
"GradientBoostingClassifier(init=None; learning_rate=0.1; loss='deviance'; max_depth=3; max_features=None; max_leaf_nodes=None; min_samples_leaf=1; min_samples_split=2; n_estimators=100; random_state=None; subsample=1.0; verbose=0; warm_start=False)",0.667693712199,0.599726152442,6.52199983597,0.0250000953674,147,[[2998 1384]  [1528 2853]],[[684 447]  [430 630]]
"GradientBoostingClassifier(init=None; learning_rate=0.1; loss='deviance'; max_depth=3; max_features=None; max_leaf_nodes=None; min_samples_leaf=1; min_samples_split=2; n_estimators=100; random_state=None; subsample=1.0; verbose=0; warm_start=False)",0.670204267945,0.601095390233,14.6720001698,0.0449998378754,273,[[3014 1368]  [1522 2859]],[[686 445]  [429 631]]
