"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.512838069154,0.517115472387,0.00392603874207,0.00269389152527,1,[[ 249 1942    0]  [ 136 4245    0]  [  25 2166    0]],[[  43  496    0]  [  43 1090    0]  [   2  517    0]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.525276731713,0.523048836148,0.00375699996948,0.000702857971191,4,[[ 249 1933    9]  [ 135 4213   33]  [  24 2026  141]],[[  43  493    3]  [  43 1074   16]  [   2  488   29]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.525847312564,0.521679598357,0.00884103775024,0.00087308883667,11,[[ 250 1933    8]  [ 134 4215   32]  [  24 2024  143]],[[  42  494    3]  [  44 1073   16]  [   2  489   28]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.528015519799,0.520766773163,0.0306799411774,0.00239610671997,27,[[ 257 1924   10]  [ 132 4216   33]  [  23 2014  154]],[[  42  493    4]  [  44 1070   19]  [   3  487   29]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.542850621933,0.513007759014,0.083477973938,0.00483322143555,63,[[ 351 1817   23]  [ 146 4167   68]  [  44 1908  239]],[[  47  479   13]  [  59 1042   32]  [  12  472   35]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.739929247974,0.465540848927,0.409063100815,0.00898194313049,146,[[1267  869   55]  [ 235 4043  103]  [ 125  892 1174]],[[125 353  61]  [191 777 165]  [ 67 334 118]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.964053406368,0.418986764035,0.722538948059,0.0152058601379,336,[[2125   63    3]  [ 113 4261    7]  [  47   82 2062]],[[182 256 101]  [305 571 257]  [ 93 261 165]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.99121305489,0.419899589229,2.07111215591,0.0303537845612,774,[[2187    3    1]  [  46 4335    0]  [  12   15 2164]],[[178 262  99]  [291 583 259]  [103 257 159]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.998744722127,0.441807393884,9.444658041,0.106633901596,1779,[[2191    0    0]  [   9 4372    0]  [   2    0 2189]],[[183 256 100]  [271 626 236]  [102 258 159]]
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.998972954468,0.455043359197,24.5176570415,0.228040218353,4087,[[2191    0    0]  [   8 4373    0]  [   1    0 2190]],[[180 262  97]  [234 651 248]  [ 80 273 166]]
