"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.362775305261,0.346873573711,3.1779999733,1.91999983788,1,[[ 294    0 2627]  [  80    0 2841]  [  36    0 2885]],[[ 57   0 684]  [ 27   0 716]  [  4   0 703]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.389934953783,0.390232770424,3.59300017357,2.56599998474,4,[[ 885 2024   12]  [ 516 2385   20]  [ 387 2387  147]],[[212 525   4]  [126 610   7]  [101 573  33]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.427593289969,0.42126882702,6.82500004768,4.257999897,11,[[ 757  961 1203]  [ 324 1168 1429]  [ 214  885 1822]],[[185 261 295]  [ 93 309 341]  [ 56 222 429]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.449389478489,0.443176631675,8.65499997139,6.22300004959,27,[[ 875 1514  532]  [ 371 1792  758]  [ 240 1410 1271]],[[206 402 133]  [106 452 185]  [ 66 328 313]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.472212712541,0.440438156093,14.8740000725,9.60099983215,63,[[1079 1353  489]  [ 505 1710  706]  [ 328 1244 1349]],[[255 358 128]  [140 421 182]  [ 84 334 289]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.473353874244,0.442720219078,32.0309998989,20.3440001011,146,[[1219 1107  595]  [ 600 1446  875]  [ 431 1007 1483]],[[285 302 154]  [172 357 214]  [104 275 328]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.470615086158,0.445002282063,61.893999815,46.5679998398,336,[[1481  720  720]  [ 826 1072 1023]  [ 561  789 1571]],[[345 216 180]  [227 272 244]  [135 214 358]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.447791852105,0.434048379735,127.930000067,104.985999823,774,[[1840  367  714]  [1340  613  968]  [ 980  470 1471]],[[450 118 173]  [362 149 232]  [235 120 352]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.406824146982,0.400730260155,270.492000103,244.812000036,1779,[[2233  170  518]  [1976  289  656]  [1614  264 1043]],[[568  55 118]  [516  67 160]  [401  63 243]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.35798242611,0.375627567321,651.361000061,595.069999933,4087,[[2656   38  227]  [2585   92  244]  [2428  104  389]],[[677  15  49]  [647  26  70]  [566  21 120]]
"SVC(C=1.0; cache_size=200; class_weight=None; coef0=0.0; degree=3; gamma=0.0; kernel='rbf'; max_iter=-1; probability=False; random_state=None; shrinking=True; tol=0.001; verbose=False)",0.339267374187,0.346417161114,1421.64299989,1209.32399988,9389,[[2834    3   84]  [2847    7   67]  [2785    4  132]],[[722   2  17]  [728   4  11]  [669   5  33]]
