"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix","word_features","dop_features"
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.367412140575,0.355104629042,0.00165295600891,0.000315189361572,1,[[ 249    0 1942]  [  78    0 2113]  [  25    0 2166]],[[ 43   0 496]  [ 21   0 498]  [  2   0 517]],1,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.400273847558,0.377932783767,0.00244498252869,0.000480175018311,4,[[ 699 1483    9]  [ 393 1791    7]  [ 268 1782  141]],[[148 388   3]  [ 95 419   5]  [ 70 420  29]],4,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.501445306557,0.488268864933,0.00920820236206,0.00115394592285,11,[[1234  508  449]  [ 787  919  485]  [ 611  437 1143]],[[276 147 116]  [189 223 107]  [131 117 271]],11,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.633804959684,0.466074825618,0.0371758937836,0.00203680992126,27,[[1488  434  269]  [ 540 1362  289]  [ 430  445 1316]],[[261 168 110]  [177 249  93]  [138 156 225]],27,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.843450479233,0.452758402029,0.109345197678,0.00315594673157,63,[[1933  203   55]  [ 274 1853   64]  [ 191  242 1758]],[[244 182 113]  [191 249  79]  [130 168 221]],63,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.843450479233,0.447051363348,0.108443975449,0.00355696678162,64,[[1933  203   55]  [ 274 1853   64]  [ 191  242 1758]],[[237 194 108]  [190 253  76]  [138 166 215]],64,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.912216643846,0.429930247305,0.30052614212,0.00603485107422,146,[[2042  130   19]  [ 160 2004   27]  [ 103  138 1950]],[[221 209 109]  [179 240 100]  [139 163 217]],146,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.913281606572,0.431832593532,0.33149600029,0.00665402412415,148,[[2044  128   19]  [ 159 2007   25]  [ 102  137 1952]],[[235 201 103]  [179 239 101]  [139 173 207]],148,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.967442568082,0.435637285986,0.75121307373,0.0103118419647,336,[[2136   45   10]  [  72 2112    7]  [  35   45 2111]],[[239 179 121]  [163 240 116]  [141 170 208]],336,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.967442568082,0.435637285986,0.770359992981,0.010910987854,342,[[2136   45   10]  [  72 2112    7]  [  35   45 2111]],[[225 185 129]  [161 239 119]  [121 175 223]],342,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.989198235205,0.447685478757,1.91210198402,0.0237910747528,774,[[2180   11    0]  [  38 2153    0]  [  16    6 2169]],[[255 165 119]  [180 214 125]  [125 157 237]],774,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.989350372737,0.445149017121,1.85400223732,0.0247690677643,789,[[2180   11    0]  [  37 2154    0]  [  15    7 2169]],[[252 164 123]  [180 219 120]  [125 163 231]],789,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.996044424159,0.436271401395,4.36859297752,0.0508711338043,1779,[[2190    1    0]  [  19 2172    0]  [   4    2 2185]],[[229 187 123]  [160 229 130]  [114 175 230]],1779,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.997261524418,0.443880786303,4.49879693985,0.0499498844147,1817,[[2190    1    0]  [  12 2179    0]  [   4    1 2186]],[[225 201 113]  [161 242 116]  [125 161 233]],1817,0
"DecisionTreeClassifier(compute_importances=None; criterion='gini'; max_depth=None; max_features=None; max_leaf_nodes=None; min_density=None; min_samples_leaf=1; min_samples_split=2; random_state=None; splitter='best')",0.998478624677,0.454026632847,8.48460793495,0.104032039642,4087,[[2190    1    0]  [   5 2186    0]  [   2    2 2187]],[[214 202 123]  [143 253 123]  [121 149 249]],4087,0
