"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.572520826201,0.57279780922,0.401999950409,0.113000154495,1,[[ 223 1607    0]  [ 166 4794    0]  [  21 1952    0]],[[  39  413    0]  [  47 1216    0]  [   2  474    0]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.584274791738,0.576449109995,0.405999898911,0.125,3,[[ 234 1586   10]  [ 175 4748   37]  [  19 1816  138]],[[  39  412    1]  [  49 1195   19]  [   1  446   29]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.584388907908,0.574623459607,0.433000087738,0.125,6,[[ 230 1590   10]  [ 171 4752   37]  [  18 1816  139]],[[  36  415    1]  [  49 1195   19]  [   3  445   28]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.590779413443,0.579643998174,0.474999904633,0.125,12,[[ 273 1547   10]  [ 205 4683   72]  [  22 1730  221]],[[  46  403    3]  [  56 1176   31]  [   5  423   48]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.59808284834,0.582838886353,0.536000013351,0.125,22,[[ 272 1532   26]  [ 199 4623  138]  [  24 1603  346]],[[  43  403    6]  [  47 1164   52]  [   4  402   70]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.606527444939,0.586946599726,0.672999858856,0.171999931335,42,[[ 330 1451   49]  [ 232 4502  226]  [  28 1462  483]],[[  64  377   11]  [  71 1120   72]  [   4  370  102]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.609608581536,0.586946599726,0.9390001297,0.24799990654,79,[[ 338 1444   48]  [ 240 4484  236]  [  32 1421  520]],[[  62  380   10]  [  75 1118   70]  [   7  363  106]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.610977975579,0.586033774532,1.6320002079,0.418999910355,147,[[ 338 1437   55]  [ 237 4468  255]  [  35 1390  548]],[[  58  379   15]  [  78 1112   73]  [   7  355  114]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.609608581536,0.586033774532,3.24199986458,0.759000062943,273,[[ 338 1437   55]  [ 235 4460  265]  [  34 1395  544]],[[  61  376   15]  [  76 1114   73]  [   8  359  109]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.608239187493,0.591510725696,5.68600010872,1.28900003433,505,[[ 328 1460   42]  [ 234 4505  221]  [  24 1452  497]],[[  62  379   11]  [  70 1130   63]  [   5  367  104]]
