"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.572520826201,0.554084892743,0.146184206009,0.0799970626831,1, [[ 223 1607    0]  [ 166 4794    0]  [  21 1952    0]],[[  32  420    0]  [  81 1182    0]  [  34  442    0]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.583932443227,0.547695116385,0.168606996536,0.0844879150391,4, [[ 219 1601   10]  [ 163 4760   37]  [  18 1817  138]],[[  26  413   13]  [  64 1163   36]  [  24  441   11]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.583590094716,0.5454130534,0.211074113846,0.0958487987518,11, [[ 219 1601   10]  [ 163 4754   43]  [  19 1813  141]],[[  26  400   26]  [  64 1148   51]  [  24  431   21]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.584046559397,0.550433591967,0.291805028915,0.101276159286,27, [[ 204 1616   10]  [ 144 4773   43]  [  17 1815  141]],[[  17  410   25]  [  44 1168   51]  [  18  437   21]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.58507360493,0.553172067549,0.517180919647,0.164114952087,63, [[ 202 1619    9]  [ 133 4784   43]  [  18 1814  141]],[[  10  416   26]  [  30 1182   51]  [  17  439   20]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.595572292594,0.509356458238,1.36127495766,0.281336069107,146, [[ 251 1547   32]  [ 181 4596  183]  [  27 1574  372]],[[  23  381   48]  [  74 1051  138]  [  23  411   42]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.607896838982,0.49246919215,3.34387207031,0.557794809341,336, [[ 368 1421   41]  [ 257 4499  204]  [  37 1476  460]],[[  31  373   48]  [ 104 1013  146]  [  28  413   35]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.613602647495,0.482428115016,8.19853997231,1.2169778347,774, [[ 433 1348   49]  [ 302 4428  230]  [  39 1418  516]],[[ 37 364  51]  [125 980 158]  [ 39 397  40]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.614059112176,0.482428115016,19.1844871044,2.45797300339,1779, [[ 397 1386   47]  [ 264 4463  233]  [  44 1408  521]],[[ 41 359  52]  [129 981 153]  [ 44 397  35]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.613944996006,0.488361478777,52.0581498146,8.4373588562,4087, [[ 405 1380   45]  [ 267 4475  218]  [  41 1432  500]],[[ 41 364  47]  [131 998 134]  [ 41 404  31]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.614287344517,0.488361478777,142.163414001,21.4053561687,9389, [[ 406 1380   44]  [ 270 4477  213]  [  43 1430  500]],[[ 41 364  47]  [131 998 134]  [ 41 404  31]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.612233253452,0.484710178001,372.815592051,58.7765879631,21568, [[ 405 1384   41]  [ 273 4466  221]  [  43 1436  494]],[[ 42 363  47]  [140 989 134]  [ 44 401  31]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.611776788771,0.481515289822,1027.49313593,401.638413906,49543,[[ 406 1382   42]  [ 275 4460  225]  [  39 1439  495]],[[ 40 363  49]  [134 981 148]  [ 39 403  34]]
