"Classifier id","train_accuracy","test_accuracy","fit_time","score_time","features","train_conf_matrix","test_conf_matrix"
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.580280725779,0.536284801461,0.161623001099,0.0823950767517,1,[[ 327 3595]  [  83 4758]],[[  64  933]  [  83 1111]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.580394841949,0.536741214058,0.177107095718,0.0843191146851,4,[[ 326 3596]  [  81 4760]],[[  63  934]  [  81 1113]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.580508958119,0.537654039251,0.23754119873,0.0931069850922,11,[[ 329 3593]  [  83 4758]],[[  66  931]  [  82 1112]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.580508958119,0.537654039251,0.319875001907,0.11292719841,27,[[ 328 3594]  [  82 4759]],[[  64  933]  [  80 1114]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.592833504508,0.522592423551,0.72065281868,0.188907146454,63,[[1153 2769]  [ 799 4042]],[[199 798]  [248 946]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.631062421545,0.518484710178,1.64925289154,0.31973695755,146,[[1689 2233]  [1000 3841]],[[241 756]  [299 895]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.648522195595,0.498402555911,4.3177781105,0.707921981812,336,[[1928 1994]  [1086 3755]],[[286 711]  [388 806]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.651375099852,0.494294842538,13.3235559464,1.85077691078,774,[[1875 2047]  [1008 3833]],[[292 705]  [403 791]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.658678534748,0.50296668188,25.0212259293,3.93070816994,1779,[[1898 2024]  [ 967 3874]],[[299 698]  [391 803]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.661303206664,0.496120492926,60.0402019024,15.4088079929,4087,[[1970 1952]  [1016 3825]],[[299 698]  [406 788]]
"AdaBoostClassifier(algorithm='SAMME.R'; base_estimator=None; learning_rate=1.0; n_estimators=50; random_state=None)",0.660276161132,0.498858968508,177.294346094,143.823626995,9389,[[1992 1930]  [1047 3794]],[[322 675]  [423 771]]
