'Classifier','train_accuracy','test_accuracy','fit_time','score_time','features','settings'
'amueller_mlp.MLPClassifier',0.572520826201,0.554084892743,0.564288854599,0.0579750537872,1,''
'amueller_mlp.MLPClassifier',0.583590094716,0.540392514833,0.65669298172,0.0620019435883,4,''
'amueller_mlp.MLPClassifier',0.556658678535,0.475581926061,0.637591838837,0.0558469295502,11,''
'amueller_mlp.MLPClassifier',0.558142188748,0.486535828389,0.690659999847,0.0659811496735,27,''
'amueller_mlp.MLPClassifier',0.555403400662,0.486079415792,0.815272092819,0.0728900432587,63,''
'amueller_mlp.MLPClassifier',0.565902088326,0.46508443633,1.05429983139,0.0851740837097,146,''
'amueller_mlp.MLPClassifier',0.581878352163,0.464171611136,1.59606003761,0.0884881019592,336,''
'amueller_mlp.MLPClassifier',0.587698276846,0.454130534003,2.81788682938,0.137037038803,774,''
'amueller_mlp.MLPClassifier',0.609266233025,0.461433135555,6.19784903526,0.224271059036,1779,''
'amueller_mlp.MLPClassifier',0.640648179847,0.458238247376,14.3445820808,0.420933961868,4087,''
'amueller_mlp.MLPClassifier',0.691087527103,0.481058877225,30.5987608433,0.840847969055,9389,''
'amueller_mlp.MLPClassifier',0.764578340751,0.496120492926,69.7986750603,2.94269418716,21568,''
'amueller_mlp.MLPClassifier',0.809654228004,0.515289821999,218.073797941,9.65685009956,49543,''
'amueller_mlp.MLPClassifier',0.909505876983,0.501141031492,3801.39524913,20.8444628716,113800,''
'sklearn.ensemble.forest.RandomForestClassifier',0.572520826201,0.554084892743,0.024512052536,0.00994992256165,1,''
'sklearn.ensemble.forest.RandomForestClassifier',0.584046559397,0.542674577818,0.0263130664825,0.0099880695343,4,''
'sklearn.ensemble.forest.RandomForestClassifier',0.584731256419,0.542218165221,0.0332000255585,0.0115320682526,11,''
'sklearn.ensemble.forest.RandomForestClassifier',0.586785347484,0.548151528982,0.0466921329498,0.0122890472412,27,''
'sklearn.ensemble.forest.RandomForestClassifier',0.600479287915,0.538566864445,0.0813000202179,0.0205960273743,63,''
'sklearn.ensemble.forest.RandomForestClassifier',0.760241926281,0.476494751255,0.233426094055,0.0349447727203,146,''
'sklearn.ensemble.forest.RandomForestClassifier',0.948305374872,0.447740757645,0.457451105118,0.0532128810883,336,''
'sklearn.ensemble.forest.RandomForestClassifier',0.9693027502,0.473299863076,0.873045921326,0.0841109752655,774,''
'sklearn.ensemble.forest.RandomForestClassifier',0.978660276161,0.485623003195,1.60690307617,0.125324010849,1779,''
'sklearn.ensemble.forest.RandomForestClassifier',0.977176765948,0.501141031492,3.80448389053,0.276178121567,4087,''
'sklearn.ensemble.forest.RandomForestClassifier',0.974552094032,0.518941122775,7.80413794518,0.553484916687,9389,''
'sklearn.ensemble.forest.RandomForestClassifier',0.974209745521,0.523961661342,19.3120281696,4.15346384048,21568,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.572520826201,0.554084892743,0.671602964401,0.0225310325623,1,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.584046559397,0.543130990415,1.03400182724,0.0387060642242,4,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.584731256419,0.542218165221,1.71012187004,0.0377960205078,11,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.586442998973,0.547695116385,3.27913808823,0.0495519638062,27,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.589752367911,0.544500228206,7.22749185562,0.05224609375,63,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.615200273879,0.514833409402,21.2350418568,0.0730240345001,146,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.636311765377,0.499315381105,61.2666079998,0.1207010746,336,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.650233938149,0.511638521223,167.531360865,0.158926963806,774,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.653543307087,0.527156549521,396.245006084,0.336238145828,1779,''
'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier',0.649435124957,0.529438612506,989.129950047,0.382359027863,4087,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.572520826201,0.554084892743,0.158987045288,0.0823311805725,1,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.583932443227,0.547695116385,0.17573094368,0.0819940567017,4,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.583590094716,0.5454130534,0.209429979324,0.092845916748,11,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.584046559397,0.550433591967,0.286074876785,0.104848861694,27,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.58507360493,0.553172067549,0.51026892662,0.165896892548,63,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.595572292594,0.509356458238,1.30561685562,0.282698869705,146,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.607896838982,0.48790506618,3.27348804474,0.561129808426,336,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.613602647495,0.477863989046,7.95867705345,1.21069097519,774,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.614059112176,0.482428115016,19.6719760895,2.56525802612,1779,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.613944996006,0.488361478777,51.5397069454,8.39134693146,4087,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.614287344517,0.488361478777,127.377412081,19.5031540394,9389,''
'sklearn.ensemble.weight_boosting.AdaBoostClassifier',0.612233253452,0.484710178001,372.15973711,66.733700037,21568,''
'sklearn.linear_model.logistic.LogisticRegression',0.572520826201,0.554084892743,0.0141341686249,0.00365900993347,1,''
'sklearn.linear_model.logistic.LogisticRegression',0.583361862376,0.545869465997,0.0181760787964,0.00369691848755,4,''
'sklearn.linear_model.logistic.LogisticRegression',0.583590094716,0.5454130534,0.0272529125214,0.00395011901855,11,''
'sklearn.linear_model.logistic.LogisticRegression',0.584503024079,0.544043815609,0.0541429519653,0.00473403930664,27,''
'sklearn.linear_model.logistic.LogisticRegression',0.58530183727,0.557736193519,0.136830091476,0.00412607192993,63,''
'sklearn.linear_model.logistic.LogisticRegression',0.599908707064,0.515746234596,0.285295963287,0.00936508178711,146,''
'sklearn.linear_model.logistic.LogisticRegression',0.615428506219,0.486079415792,0.67379784584,0.0170979499817,336,''
'sklearn.linear_model.logistic.LogisticRegression',0.640305831336,0.477863989046,1.10517787933,0.0373680591583,774,''
'sklearn.linear_model.logistic.LogisticRegression',0.702385027958,0.479689639434,2.02859687805,0.0688319206238,1779,''
'sklearn.linear_model.logistic.LogisticRegression',0.797786146297,0.48790506618,3.16241598129,0.164219141006,4087,''
